ln_uwe , ln_ahe , age , sex , race , years_ed
6.1753873853 , 2.4865079312 , 46 , 2 , 1 , 16
6.3424937763 , 2.6536143221 , 46 , 2 , 1 , 18
5.0106352941 , 2.0149030205 , 33 , 2 , 1 , 13
5.8824113244 , 1.6339160823 , 30 , 2 , 1 , 13
5.8468833183 , 1.7525387561 , 33 , 2 , 1 , 13
6.7899674356 , 2.9833049459 , 39 , 1 , 1 , 13
6.2887160706 , 2.4820535808 , 45 , 2 , 1 , 12
5.4414182102 , 1.7525387561 , 32 , 1 , 1 , 12
3.8319802978 , 0.1431008436 , 42 , 2 , 1 , 18
6.2146080984 , 2.5257286443 , 40 , 1 , 1 , 16
5.6477546432 , 2.0924065817 , 39 , 1 , 1 , 16
5.952243834 , 2.1455813442 , 43 , 2 , 1 , 12
5.7608411684 , 2.0719617143 , 50 , 1 , 4 , 12
6.2523484264 , 2.5634689723 , 29 , 2 , 1 , 16
5.9914645471 , 2.302585093 , 27 , 1 , 1 , 12
4.2686979494 , 1.4961092271 , 44 , 1 , 1 , 16
5.59556889 , 1.9066894359 , 32 , 2 , 1 , 12
5.9914645471 , 2.302585093 , 26 , 1 , 1 , 12
6.2887160706 , 2.7051971321 , 32 , 2 , 1 , 16
6.0920057763 , 2.1799827709 , 48 , 1 , 1 , 12
5.9077968561 , 2.2968789434 , 27 , 1 , 1 , 13
5.6789247843 , 1.5845802221 , 41 , 1 , 1 , 12
5.498988062 , 1.5869650566 , 30 , 1 , 1 , 13
6.2576675879 , 2.3456445825 , 32 , 1 , 1 , 22
3.8728022923 , 0.1839228382 , 35 , 2 , 1 , 18
6.567429473 , 2.8785500189 , 44 , 2 , 1 , 18
4.1862820575 , 0.4974026034 , 34 , 1 , 1 , 8
4.9236239171 , 1.4578880143 , 29 , 2 , 1 , 13
5.41507381 , 2.0249533564 , 26 , 1 , 1 , 13
6.2244441806 , 2.5355647264 , 45 , 1 , 1 , 16
5.6932890139 , 2.1379409524 , 42 , 2 , 1 , 16
6.7631740502 , 3.0742945961 , 43 , 1 , 1 , 14
5.0359531021 , 1.6347557204 , 48 , 2 , 1 , 12
6.6578135345 , 2.6504803493 , 35 , 1 , 1 , 12
6.3577089421 , 2.6688294879 , 46 , 1 , 1 , 12
3.649658741 , 0.1531511795 , 41 , 2 , 1 , 12
5.6024026296 , 1.9135231755 , 38 , 2 , 1 , 12
4.6612596526 , 1.6655273791 , 26 , 1 , 1 , 12
4.0346253275 , 1.9551837858 , 27 , 2 , 1 , 12
4.5641478509 , -0.030971999 , 34 , 1 , 1 , 11
5.9111613889 , 2.2222819347 , 42 , 2 , 1 , 12
5.952243834 , 2.2633643798 , 48 , 1 , 1 , 8
4.6443908991 , 0.955511445 , 38 , 1 , 1 , 11
5.4414182102 , 1.7525387561 , 43 , 1 , 1 , 11
6.1345653907 , 2.4456859366 , 42 , 2 , 1 , 18
6.5940977201 , 2.905218266 , 42 , 2 , 1 , 15
5.623739767 , 1.9348603129 , 26 , 2 , 1 , 12
6.5118596219 , 2.6832182254 , 37 , 1 , 1 , 12
5.2590966534 , 1.7037485919 , 29 , 2 , 1 , 12
6.1345653907 , 2.2225423853 , 42 , 1 , 1 , 14
5.9264259009 , 2.2375464468 , 50 , 1 , 1 , 8
6.0233668795 , 2.3344874253 , 25 , 1 , 1 , 12
5.4579475121 , 1.5459245067 , 27 , 2 , 1 , 12
4.1504340289 , 2.0709924872 , 30 , 1 , 1 , 13
5.4867179694 , 1.7978385153 , 28 , 2 , 1 , 16
5.560681631 , 1.8718021769 , 49 , 2 , 1 , 12
5.926926026 , 2.2380465719 , 41 , 2 , 1 , 13
6.6200732065 , 3.064725145 , 33 , 1 , 1 , 14
6.4963688281 , 2.6251678172 , 43 , 2 , 1 , 12
4.0591650551 , 0.6579676734 , 31 , 2 , 1 , 13
5.5214609179 , 1.2039728043 , 40 , 1 , 1 , 13
6.0475540138 , 1.6908451871 , 37 , 2 , 1 , 16
6.6583565969 , 2.9694771428 , 44 , 1 , 1 , 16
6.1753873853 , 2.5378012255 , 32 , 2 , 1 , 16
6.5118596219 , 2.8229801678 , 38 , 2 , 1 , 16
6.1164862773 , 2.4276068232 , 36 , 1 , 1 , 12
5.9413147634 , 2.0701137525 , 26 , 2 , 1 , 15
6.5825577053 , 2.5752245201 , 49 , 1 , 1 , 12
4.7229532216 , 1.7272209481 , 49 , 2 , 1 , 12
6.9995628282 , 2.992229643 , 33 , 1 , 1 , 18
6.2887160706 , 2.5998366165 , 34 , 2 , 1 , 12
5.3391393611 , 1.650259907 , 34 , 2 , 1 , 18
6.1345653907 , 2.5792173293 , 39 , 2 , 1 , 16
5.9176523892 , 2.1109898994 , 33 , 1 , 1 , 12
5.647991115 , 2.2467937334 , 40 , 2 , 1 , 12
6.0020466564 , 2.1953841667 , 29 , 1 , 1 , 12
5.5417749233 , 2.1405775417 , 25 , 1 , 1 , 16
6.2597285337 , 2.5708490796 , 37 , 1 , 1 , 13
6.6453910145 , 2.9565115604 , 29 , 1 , 1 , 18
5.3452743496 , 1.6563948955 , 50 , 2 , 1 , 12
5.2590966534 , 2.5510464523 , 38 , 1 , 1 , 13
5.8742822925 , 2.1854028384 , 43 , 2 , 1 , 12
6.7631740502 , 3.0742945961 , 35 , 1 , 1 , 15
5.4033701426 , 1.7144906884 , 40 , 2 , 1 , 12
5.2337788454 , 1.5448993913 , 40 , 1 , 1 , 12
6.1345653907 , 2.6688294879 , 40 , 2 , 1 , 12
5.8509860019 , 2.1874243558 , 50 , 2 , 1 , 12
6.3762362467 , 2.6385666284 , 35 , 1 , 1 , 12
6.4744840625 , 2.6032830516 , 44 , 1 , 1 , 12
5.6149869759 , 1.9261075218 , 26 , 1 , 1 , 15
5.6263751801 , 1.937495726 , 37 , 2 , 1 , 12
6.567429473 , 2.8785500189 , 38 , 1 , 1 , 12
5.4414182102 , 2.3968957725 , 31 , 2 , 1 , 12
5.1357984371 , 1.7346010554 , 38 , 2 , 1 , 13
5.4414182102 , 1.7525387561 , 33 , 2 , 1 , 12
6.4222474632 , 2.5510464523 , 29 , 1 , 1 , 12
5.6015036255 , 1.9126241714 , 31 , 2 , 1 , 12
6.087648471 , 2.3987690168 , 43 , 1 , 1 , 16
6.2341844558 , 2.5453050017 , 40 , 2 , 1 , 12
5.1357984371 , 0.946143695 , 30 , 1 , 1 , 12
5.7291002826 , 2.0402208285 , 31 , 2 , 1 , 12
2.9565115604 , -0.039220713 , 48 , 2 , 1 , 11
6.758223545 , 3.0693440909 , 48 , 1 , 1 , 16
5.2337788454 , 1.6784307839 , 26 , 2 , 1 , 13
7.1271379208 , 3.1198047355 , 35 , 1 , 1 , 13
5.2388939461 , 1.550014492 , 46 , 2 , 1 , 12
6.3409018237 , 2.5567121898 , 45 , 1 , 1 , 8
6.182611425 , 2.4937319709 , 38 , 1 , 1 , 13
5.7502500414 , 2.0613705872 , 44 , 2 , 1 , 12
5.3130164954 , 2.3172842218 , 32 , 2 , 1 , 16
2.9565115604 , 1.5702171993 , 28 , 2 , 1 , 12
5.7101722728 , 2.0212928186 , 50 , 1 , 1 , 9
6.2887160706 , 2.4820535808 , 42 , 2 , 1 , 16
5.2113059896 , 2.4387172673 , 27 , 2 , 1 , 13
5.7291002826 , 2.0402208285 , 36 , 2 , 1 , 12
6.0010339981 , 2.2398338824 , 32 , 2 , 1 , 14
5.3544068332 , 1.6655273791 , 41 , 1 , 1 , 12
5.2495272024 , 1.090644119 , 40 , 2 , 1 , 12
