ethnic_sentiment,rural,unemployed,male,education,age,age_sq,dist_match,post_victory,country_match_fe,country_year_fe,language_year_id,future_victory,day,month,dayweek
National and ethnic ids equal,0,1,0,4,28,784,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,1,1,1,4,38,1444,-10,1,5197,48,7,0,27,5,2
National id only,1,1,1,4,26,676,-9,1,2663,19,6,0,1,7,2
National and ethnic ids equal,1,1,0,0,20,400,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,1,0,0,0,35,1225,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,1,0,0,0,38,1444,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,1,0,65,4225,-1,1,5252,48,7,0,2,6,1
National id more than ethnic,1,0,0,0,42,1764,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,1,0,60,3600,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,0,0,1,0,20,400,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,27,729,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,1,1,4,32,1024,-2,1,5252,48,7,0,3,6,2
National and ethnic ids equal,1,1,0,0,30,900,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,4,18,324,-14,1,5197,48,7,0,31,5,6
National id only,0,0,1,0,60,3600,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,1,1,1,7,36,1296,-9,1,5197,48,7,0,26,5,1
National id more than ethnic,1,0,0,0,30,900,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,0,0,50,2500,-8,1,5197,48,7,0,25,5,0
Ethnic id more than national,0,0,1,7,37,1369,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,1,0,0,0,32,1024,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,1,1,0,0,38,1444,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,1,0,66,4356,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,43,1849,-1,1,5252,48,7,0,2,6,1
